Kingdom,Phylum,Class,Order,Family,Genus,Species
Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum,Thermoanaerobaculum
Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum,uncultured
Bacteria,Acidobacteria,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,Luteitalea
Bacteria,Acidobacteria,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,uncultured
Bacteria,Acidobacteria,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,Vicinamibacter
Bacteria,Acidobacteria,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,uncultured
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,uncultured
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Aciditerrimonas,uncultured
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ferrimicrobium,Ferrimicrobium
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ferrimicrobium,uncultured
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Aquihabitans,uncultured
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,Iamia
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,uncultured
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Rhabdothermincola,Rhabdothermincola
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,uncultured
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,Candidatus,
Bacteria,Actinobacteria,Actinomycetia,Acidothermales,Acidothermaceae,Acidothermus,uncultured
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,uncultured
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Arcanobacterium,NA
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Boudabousia,Boudabousia
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Flaviflexus,Flaviflexus
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Flaviflexus,NA
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Mobiluncus,NA
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Nanchangia,Nanchangia
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia
Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella
Bacteria,Actinobacteria,Actinomycetia,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,Actinopolyspora
Bacteria,Actinobacteria,Actinomycetia,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,NA
Bacteria,Actinobacteria,Actinomycetia,Actinopolysporales,Actinopolysporaceae,Haloactinomyces,Haloactinomyces
Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,uncultured
Bacteria,Actinobacteria,Actinomycetia,Catenulisporales,Actinospicaceae,Actinospica,Actinospica
Bacteria,Actinobacteria,Actinomycetia,Catenulisporales,Actinospicaceae,Actinospica,NA
Bacteria,Actinobacteria,Actinomycetia,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,[Brevibacterium]
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,uncultured
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,Dietzia
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,uncultured
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Jongsikchunia,Jongsikchunia
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Millisia,Millisia
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Skermania,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Skermania,Skermania
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Hoyosella,Hoyosella
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Hoyosella,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Candidatus
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,uncultured
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacter,Mycolicibacter
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,NA,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,NA,NA,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Antrihabitans,Antrihabitans
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,NA,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Nocardia,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Nocardia,uncultured
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Parvopolyspora,Parvopolyspora
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Prescottella,Prescottella
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,uncultured
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Smaragdicoccus,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Williamsia,NA
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Williamsia,Williamsia
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Williamsia,uncultured
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Tsukamurellaceae,Tsukamurella,uncultured
Bacteria,Actinobacteria,Actinomycetia,Cryptosporangiales,Cryptosporangiaceae,Cryptosporangium,Cryptosporangium
Bacteria,Actinobacteria,Actinomycetia,Cryptosporangiales,Cryptosporangiaceae,Cryptosporangium,NA
Bacteria,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae,Frankia,Frankia
Bacteria,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae,Frankia,NA
Bacteria,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae,Frankia,uncultured
Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Blastococcus,Blastococcus
Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Blastococcus,uncultured
Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Cumulibacter,NA
Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus
Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,NA
Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter
Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Modestobacter,NA
Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Modestobacter,uncultured
Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,NA,NA
Bacteria,Actinobacteria,Actinomycetia,Geodermatophilales,NA,NA,NA
Bacteria,Actinobacteria,Actinomycetia,Glycomycetales,Glycomycetaceae,Glycomyces,Glycomyces
Bacteria,Actinobacteria,Actinomycetia,Glycomycetales,Glycomycetaceae,Glycomyces,NA
Bacteria,Actinobacteria,Actinomycetia,Glycomycetales,Glycomycetaceae,Glycomyces,uncultured
Bacteria,Actinobacteria,Actinomycetia,Glycomycetales,Glycomycetaceae,Haloglycomyces,Haloglycomyces
Bacteria,Actinobacteria,Actinomycetia,Glycomycetales,Glycomycetaceae,Natronoglycomyces,Natronoglycomyces
Bacteria,Actinobacteria,Actinomycetia,Glycomycetales,Glycomycetaceae,Salilacibacter,Salilacibacter
Bacteria,Actinobacteria,Actinomycetia,Glycomycetales,Glycomycetaceae,Stackebrandtia,Stackebrandtia
Bacteria,Actinobacteria,Actinomycetia,Jiangellales,Jiangellaceae,Jiangella,Jiangella
Bacteria,Actinobacteria,Actinomycetia,Jiangellales,Jiangellaceae,Jiangella,uncultured
Bacteria,Actinobacteria,Actinomycetia,Kineosporiales,Kineosporiaceae,Kineococcus,Kineococcus
Bacteria,Actinobacteria,Actinomycetia,Kineosporiales,Kineosporiaceae,Kineosporia,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Beutenbergiaceae,Salana,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Beutenbergiaceae,Serinibacter,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Beutenbergiaceae,Serinibacter,Serinibacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Beutenbergiaceae,Serinibacter,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Bogoriellaceae,Georgenia,Georgenia
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Bogoriellaceae,Georgenia,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Brevibacterium,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Brevibacterium,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,NA,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Sediminivirga,Sediminivirga
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Actinotalea,Actinotalea
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,NA,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Pseudactinotalea,Pseudactinotalea
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Tropicihabitans,Tropicihabitans
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Demequinaceae,Demequina,Demequina
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Brachybacterium,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Brachybacterium,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Dermabacter,Dermabacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermacoccaceae,Calidifontibacter,Calidifontibacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermacoccaceae,Demetria,Demetria
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermacoccaceae,Metallococcus,Metallococcus
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermacoccaceae,NA,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermatophilaceae,Agilicoccus,Agilicoccus
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermatophilaceae,Austwickia,Austwickia
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermatophilaceae,Dermatophilus,Dermatophilus
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermatophilaceae,Dermatophilus,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermatophilaceae,Kineosphaera,Kineosphaera
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermatophilaceae,Mobilicoccus,Mobilicoccus
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermatophilaceae,Mobilicoccus,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Aquipuribacter,Aquipuribacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Arsenicicoccus,Arsenicicoccus
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Arsenicicoccus,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Arsenicicoccus,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Intrasporangium,Intrasporangium
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Intrasporangium,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Janibacter,Janibacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Janibacter,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Janibacter,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Knoellia,Knoellia
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Knoellia,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Kribbia,Kribbia
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Kribbia,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Lapillicoccus,Lapillicoccus
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,NA,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Oryzobacter,Oryzobacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Phycicoccus,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Terrabacter,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Terrabacter,Terrabacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Terrabacter,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Terracoccus,Terracoccus
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Tetrasphaera,Tetrasphaera
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Tetrasphaera,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Jonesiaceae,Jonesia,Jonesia
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Kytococcaceae,Kytococcus,Kytococcus
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Kytococcaceae,Kytococcus,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Agreia,Agreia
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Agreia,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Agreia,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Agrococcus,Agrococcus
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Agromyces,Agromyces
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Agromyces,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Amnibacterium,Amnibacterium
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Amnibacterium,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Arenivirga,Arenivirga
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Aurantimicrobium,Aurantimicrobium
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Aurantimicrobium,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Chryseoglobus,Chryseoglobus
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Chryseoglobus,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Clavibacter,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Compostimonas,Compostimonas
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Compostimonas,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Conyzicola,Conyzicola
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Cryobacterium,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Cryobacterium,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Cryocola,Cryocola
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Curtobacterium,Curtobacterium
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Curtobacterium,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Curtobacterium,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Frigoribacterium,Frigoribacterium
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Frigoribacterium,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Frigoribacterium,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Frondihabitans,Frondihabitans
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Frondihabitans,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Frondihabitans,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Galbitalea,Galbitalea
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Glaciibacter,Glaciibacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Glaciihabitans,Glaciihabitans
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Glaciihabitans,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Gryllotalpicola,Gryllotalpicola
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Herbiconiux,Herbiconiux
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Herbiconiux,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Homoserinibacter,Homoserinibacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Homoserinimonas,Homoserinimonas
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Huakuichenia,Huakuichenia
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Humibacter,Humibacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Labedella,Labedella
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Lacisediminihabitans,Lacisediminihabitans
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Lacisediminihabitans,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leifsonia,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leifsonia,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leucobacter,Leucobacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leucobacter,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leucobacter,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Lysinibacter,Lysinibacter
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Lysinimonas,Lysinimonas
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Marinisubtilis,Marinisubtilis
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Marisediminicola,Marisediminicola
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microcella,Microcella
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microcella,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microcella,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microterricola,Microterricola
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microterricola,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Mycetocola,Mycetocola
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Mycetocola,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Mycetocola,uncultured
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,NA,NA
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Okibacterium,Okibacterium
Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Parafrigoribacterium,Parafrigoribacterium
